x,y,label
6.85053,2.39894,1.00000
-9.50832,7.06903,3.00000
-2.49934,9.47169,0.00000
3.81530,2.30562,1.00000
-5.62414,-5.94049,2.00000
-2.92529,8.21274,0.00000
-6.46395,-7.01056,2.00000
-7.84321,-6.51055,2.00000
-7.29365,-7.37852,2.00000
4.11004,1.63680,1.00000
-8.55568,7.54728,3.00000
-3.15805,8.97262,0.00000
-6.49853,-6.98511,2.00000
4.16334,3.80741,1.00000
-2.37649,9.71502,0.00000
4.10894,2.43178,1.00000
-6.87270,-6.81524,2.00000
-6.97436,-6.62051,2.00000
4.04952,2.72143,1.00000
-5.83991,-7.20276,2.00000
5.44835,0.83523,1.00000
-8.17269,6.94003,3.00000
-9.64785,7.85564,3.00000
-9.11092,7.44892,3.00000
-8.49776,7.57293,3.00000
-9.05104,5.70399,3.00000
-2.68397,8.90110,0.00000
-7.63657,-7.06056,2.00000
5.17832,0.84578,1.00000
-2.15255,9.95387,0.00000
-2.32448,7.99606,0.00000
-1.98745,9.07975,0.00000
-7.47113,-7.12971,2.00000
-9.42853,6.71920,3.00000
-6.52802,-7.09395,2.00000
-8.17490,8.08126,3.00000
-8.47301,6.67517,3.00000
-7.30815,-7.19441,2.00000
-2.15228,9.51670,0.00000
-7.30298,-6.72159,2.00000
-7.34675,-6.44345,2.00000
-7.52609,-8.14744,2.00000
-8.57902,8.11741,3.00000
-3.16334,9.97691,0.00000
-9.82011,6.91546,3.00000
-7.13310,-7.14924,2.00000
-7.51951,-7.04588,2.00000
4.88780,2.31176,1.00000
-9.49192,8.09954,3.00000
-7.94004,-6.95379,2.00000
-7.20341,-5.69077,2.00000
-3.94615,8.50684,0.00000
-3.25969,6.96934,0.00000
-9.37851,7.98981,3.00000
-6.75613,-7.01944,2.00000
-7.09522,-7.78405,2.00000
-2.49656,9.86176,0.00000
-2.49921,8.34653,0.00000
-9.94546,7.17115,3.00000
-1.90859,8.43455,0.00000
-6.76020,-6.70878,2.00000
4.66457,1.00196,1.00000
4.82726,2.93000,1.00000
-7.40683,6.68277,3.00000
-7.18274,-6.58423,2.00000
-6.21906,-6.89622,2.00000
-3.63831,9.06292,0.00000
4.07140,2.06793,1.00000
-6.89011,-6.50151,2.00000
-2.85537,8.46324,0.00000
5.39656,2.24505,1.00000
5.49919,1.18968,1.00000
-2.07584,8.75143,0.00000
4.94645,2.48039,1.00000
5.02706,2.81195,1.00000
4.50552,2.47630,1.00000
4.36658,1.51828,1.00000
-6.83287,-6.78975,2.00000
3.50356,2.05673,1.00000
-6.51568,-6.35175,2.00000
-7.65907,-7.44022,2.00000
4.38327,3.59792,1.00000
-9.75141,7.12815,3.00000
5.41843,0.81840,1.00000
