x,y,label
11.69164,20.88884,1.00000
-7.59475,25.03405,1.00000
17.12488,-20.44883,0.00000
-9.43291,17.54885,0.00000
-13.77008,-18.30333,0.00000
-3.71879,12.61929,1.00000
-8.69561,-23.21064,0.00000
20.65352,-6.39749,1.00000
-6.56440,3.67085,0.00000
21.70205,-15.92145,0.00000
25.00708,-8.96921,0.00000
2.71455,-12.62710,0.00000
10.42100,14.40142,0.00000
9.74274,-0.39662,1.00000
-3.80842,24.49064,1.00000
-20.50377,15.57695,1.00000
-27.40089,7.12374,1.00000
-10.38478,-21.08427,0.00000
-13.02104,15.29597,0.00000
19.04095,-19.74431,0.00000
13.64675,-5.15584,0.00000
-12.42648,-20.19389,0.00000
25.85203,-10.91836,0.00000
-3.11166,-1.22555,1.00000
12.79590,10.18533,0.00000
-25.74560,9.31557,1.00000
21.80057,-1.89811,1.00000
5.47668,8.13798,1.00000
0.97821,18.69445,0.00000
-19.64475,18.14765,1.00000
-2.60260,-23.81658,0.00000
20.75621,1.24950,1.00000
13.37762,-15.24983,1.00000
14.46602,8.42588,0.00000
-15.90479,-0.95524,1.00000
-12.58712,9.84040,1.00000
-12.26439,-20.62766,0.00000
-18.90333,-15.57067,0.00000
9.94813,22.02536,1.00000
-7.26456,-8.72507,0.00000
-9.74444,-13.81308,1.00000
-15.46206,-0.79796,1.00000
21.68252,9.58563,1.00000
-14.96415,-1.52752,1.00000
-18.56824,11.51250,0.00000
12.95207,-23.11222,0.00000
-11.13757,8.75933,1.00000
-14.40547,-6.36037,1.00000
4.30475,-11.77020,0.00000
-9.20328,-6.04873,0.00000
-5.06241,-23.94810,0.00000
-12.67723,15.37132,0.00000
-12.58208,-11.58648,1.00000
10.65539,12.32693,0.00000
-21.07533,-2.48217,0.00000
6.34258,8.98749,1.00000
-18.91988,18.27809,1.00000
18.33768,14.48506,1.00000
16.25589,17.45785,1.00000
4.61645,12.22086,1.00000
18.06309,15.13852,1.00000
-6.43467,-18.38831,1.00000
16.13306,-2.24302,0.00000
13.76250,9.19991,0.00000
2.52823,11.76224,1.00000
6.42235,23.54895,1.00000
4.02722,24.07381,1.00000
-27.07779,10.01593,1.00000
-13.58021,-18.87179,0.00000
17.45935,16.79529,1.00000
-16.92247,12.25579,0.00000
14.50236,-13.94110,1.00000
-4.50645,-18.63556,1.00000
-2.47463,-5.92952,1.00000
-22.03484,-5.75664,0.00000
-22.28331,-5.38818,0.00000
8.93745,15.42816,0.00000
5.47297,23.30416,1.00000
12.45417,-21.51331,0.00000
-2.45656,-12.30315,0.00000
-7.29385,24.52437,1.00000
-11.19467,23.86216,1.00000
-15.01274,-6.91923,1.00000
9.73486,-16.63554,1.00000
3.92091,-24.30848,0.00000
-18.74262,-11.09653,0.00000
-16.71102,12.41176,0.00000
-10.64608,9.25802,1.00000
-10.28175,17.72449,0.00000
15.91613,-13.16378,1.00000
-14.97682,14.35524,0.00000
-1.73819,25.07437,1.00000
-9.85162,17.99818,0.00000
21.60595,4.83906,1.00000
-20.87502,-8.09490,0.00000
9.58122,0.38693,1.00000
13.48610,20.98608,1.00000
-21.38906,2.87035,0.00000
-6.31470,-16.51607,1.00000
5.55581,-14.42249,0.00000
16.05943,-22.24552,0.00000
-27.53103,5.88042,1.00000
-19.52658,-13.86333,0.00000
-0.92701,11.84078,1.00000
24.62655,-11.18775,0.00000
-17.08432,20.63950,1.00000
-28.35681,3.48581,1.00000
20.69062,7.90530,1.00000
4.85084,11.29241,1.00000
-26.34118,5.16067,1.00000
-9.82344,-3.70347,0.00000
-1.83798,7.70281,0.00000
-11.52817,16.57966,0.00000
-14.45254,4.87332,1.00000
8.37202,16.47640,0.00000
8.52181,-11.45273,0.00000
15.52450,-3.09371,0.00000
21.53382,8.83864,1.00000
-21.39493,-3.03713,0.00000
10.75930,14.91143,0.00000
-20.15301,3.68285,0.00000
-9.48823,-3.72849,0.00000
7.35919,17.26402,0.00000
4.62329,-4.80510,1.00000
-14.74214,21.37775,1.00000
18.36587,-9.23418,1.00000
-3.86744,7.95915,0.00000
-20.78088,7.73712,0.00000
22.42348,-2.77215,1.00000
-15.55238,-1.59041,1.00000
-2.01118,5.26245,0.00000
-15.11689,3.60713,1.00000
-10.62661,-13.51422,1.00000
-16.62060,20.50600,1.00000
17.12116,17.00629,1.00000
20.49968,-6.02783,1.00000
21.87562,4.08650,1.00000
21.47952,0.57160,1.00000
-12.64694,22.78529,1.00000
11.20637,-23.73743,0.00000
21.78430,4.10176,1.00000
-25.11645,11.08103,1.00000
28.93377,-0.34614,0.00000
-5.58346,-24.08719,0.00000
-12.38608,-21.18141,0.00000
14.90542,9.25895,0.00000
10.26602,-24.10890,0.00000
-15.40012,-18.95516,0.00000
-16.04794,22.30960,1.00000
21.63829,-17.77282,0.00000
22.66319,3.93030,1.00000
-0.23559,27.19135,1.00000
-3.31892,24.11898,1.00000
12.68070,-6.54960,0.00000
-21.69431,2.25186,0.00000
14.91944,5.38008,0.00000
-9.96538,-6.17804,0.00000
23.11736,-2.59448,1.00000
21.01077,-1.63546,1.00000
-21.99128,2.55432,0.00000
10.04687,15.31978,0.00000
-2.44037,17.89551,0.00000
-9.25476,10.28447,1.00000
12.27107,11.73815,0.00000
-21.86693,-12.05899,0.00000
-28.63965,1.43065,1.00000
-28.29416,1.99233,1.00000
-23.42906,12.35066,1.00000
-3.94194,25.27547,1.00000
9.10298,14.60488,0.00000
-11.18713,17.33205,0.00000
1.39002,-25.19248,0.00000
8.55360,6.87222,1.00000
-13.92870,22.39920,1.00000
-20.35271,-10.66150,0.00000
19.57740,-15.70398,0.00000
7.84543,-1.80736,1.00000
-9.97435,17.54264,0.00000
-5.52401,13.09816,1.00000
-13.58370,15.52902,0.00000
-6.36107,24.41212,1.00000
-8.81737,-3.58529,0.00000
-8.49196,-6.24400,0.00000
20.35745,-6.16658,1.00000
-25.44857,10.35974,1.00000
-21.38831,-2.08613,0.00000
21.97798,-5.84866,1.00000
-10.43959,-3.33336,0.00000
-14.01116,-6.98632,1.00000
-18.22459,-13.71094,0.00000
20.63766,11.34128,1.00000
22.67956,2.27741,1.00000
10.44868,22.01619,1.00000
-20.21257,17.42061,1.00000
-1.99108,-17.76680,1.00000
-28.61644,4.20535,1.00000
-5.39660,17.86400,0.00000
-27.42497,3.06894,1.00000
-7.59099,24.78481,1.00000
4.91069,10.25657,1.00000
-11.37498,24.84258,1.00000
-7.73673,4.68763,0.00000
19.95916,-4.86111,1.00000
4.30907,9.85009,1.00000
-11.84298,16.13482,0.00000
-1.97355,24.30795,1.00000
-24.07359,12.98015,1.00000
-1.31108,-24.38913,0.00000
22.37762,-14.12109,0.00000
4.95537,24.71263,1.00000
15.74534,16.78825,1.00000
8.52249,-0.75796,1.00000
18.04800,12.73967,1.00000
-27.29890,6.48744,1.00000
21.28170,-6.79777,1.00000
5.23521,9.58179,1.00000
-16.85402,19.57473,1.00000
-15.94168,-2.75827,1.00000
-8.13944,1.67890,0.00000
-4.71127,26.13669,1.00000
-7.68663,11.02282,1.00000
13.42396,9.70138,0.00000
-11.08189,23.49490,1.00000
-12.53038,16.41302,0.00000
7.43193,-25.51249,0.00000
-7.22474,-23.95564,0.00000
-16.32382,22.77003,1.00000
2.24841,18.29006,0.00000
22.36590,3.03251,1.00000
-9.96851,-21.75944,0.00000
-10.16410,23.54806,1.00000
7.91294,-23.84120,0.00000
13.96070,8.64277,0.00000
-5.55009,12.51998,1.00000
-10.56055,-15.68812,1.00000
-28.79073,2.48109,1.00000
-16.59704,-17.87037,0.00000
-12.09806,-21.12987,0.00000
27.94426,-4.44156,0.00000
3.80192,-25.58979,0.00000
-21.81526,6.06403,0.00000
-16.83734,12.36640,0.00000
27.08628,-3.08756,0.00000
-16.26852,2.16298,1.00000
9.84719,21.96392,1.00000
21.71559,8.96105,1.00000
14.79259,-2.02272,0.00000
6.64862,16.57949,0.00000
1.96844,-12.16615,0.00000
15.55969,2.89730,0.00000
9.41684,23.38301,1.00000
-4.26514,-24.16369,0.00000
-11.22339,-12.70794,1.00000
-0.75590,12.70453,1.00000
9.04733,2.73209,1.00000
12.34934,-22.72659,0.00000
3.91397,-24.72140,0.00000
9.18557,-9.76433,0.00000
-8.52170,3.12365,0.00000
-3.76941,25.18458,1.00000
-19.18769,19.08446,1.00000
8.01789,-25.02936,0.00000
-16.38893,-1.44268,1.00000
-7.65584,19.85628,0.00000
13.19376,14.08064,0.00000
-20.89195,-7.25196,0.00000
2.18806,19.27463,0.00000
22.50166,-16.62449,0.00000
-0.12724,-25.21568,0.00000
19.84548,-17.07086,0.00000
-9.34416,10.65771,1.00000
9.15612,-22.59861,0.00000
-5.84395,-17.20443,1.00000
21.65975,-14.31923,0.00000
16.14318,4.25607,0.00000
-21.16392,15.46547,1.00000
-27.56416,6.57949,1.00000
-6.57046,18.41123,0.00000
0.73304,24.71303,1.00000
13.76629,18.60506,1.00000
-4.23282,-18.82265,1.00000
-16.67870,20.72055,1.00000
-10.29774,10.81852,1.00000
4.66651,-12.66081,0.00000
-27.14284,3.70298,1.00000
12.53526,9.59939,0.00000
7.71247,-4.07638,1.00000
-3.88871,12.66309,1.00000
-22.43621,-1.17816,0.00000
-26.97462,6.44516,1.00000
26.58473,-8.09687,0.00000
3.63319,25.53215,1.00000
